config,ptau,construction_recall,ef,search_recall,qps,search_dist_comps,search_time_sec
No filter,1.00,0.813691,10,0.4047,2657.0,230055,0.3764
No filter,1.00,0.813691,20,0.4757,1725.7,361523,0.5795
No filter,1.00,0.813691,50,0.5620,907.2,652591,1.1023
No filter,1.00,0.813691,100,0.6289,599.7,1016747,1.6676
pτ=0.99,0.99,0.812324,10,0.4035,3059.8,229674,0.3268
pτ=0.99,0.99,0.812324,20,0.4728,1984.1,361416,0.5040
pτ=0.99,0.99,0.812324,50,0.5609,981.0,652540,1.0194
pτ=0.99,0.99,0.812324,100,0.6264,698.0,1016725,1.4327
pτ=0.95,0.95,0.805702,10,0.4029,2360.3,229957,0.4237
pτ=0.95,0.95,0.805702,20,0.4724,1667.9,361366,0.5996
pτ=0.95,0.95,0.805702,50,0.5612,912.7,654387,1.0957
pτ=0.95,0.95,0.805702,100,0.6292,568.3,1018633,1.7596
pτ=0.90,0.90,0.795561,10,0.4065,2605.0,229397,0.3839
pτ=0.90,0.90,0.795561,20,0.4779,1620.0,361253,0.6173
pτ=0.90,0.90,0.795561,50,0.5632,858.9,654534,1.1643
pτ=0.90,0.90,0.795561,100,0.6299,589.8,1017988,1.6955
pτ=0.80,0.80,0.769834,10,0.4056,2864.1,230173,0.3492
pτ=0.80,0.80,0.769834,20,0.4773,1865.8,363680,0.5360
pτ=0.80,0.80,0.769834,50,0.5681,1021.0,659751,0.9795
pτ=0.80,0.80,0.769834,100,0.6330,651.2,1025801,1.5357
